occasion,prompt_index,rank,score,row_id,product_url,product_name,image_url,product_category,color
wedding_guest,0,20,0.2536771297454834,197,https://www.zara.com/es/en/soft-fabric-dress-with-knot-p00264154.html,SOFT FABRIC DRESS WITH KNOT,https://static.zara.net/assets/public/98de/9d49/ccce4a73b928/30120731be0a/00264154081-e1/00264154081-e1.jpg?ts=1768987634441&w=4800,DRESSES,SAND / MARL
wedding_guest,1,1,0.29646897315979004,192,https://www.zara.com/es/en/trench-coat-midi-dress-p03067310.html,TRENCH COAT MIDI DRESS,https://static.zara.net/assets/public/7ae4/32e0/2a48428182ef/7ef4e6974249/03067310726-e2/03067310726-e2.jpg?ts=1769101967539&w=4800,DRESSES,BISCUIT
wedding_guest,1,2,0.2859605550765991,191,https://www.zara.com/es/en/mid-halter-godet-dress-p04772307.html,HALTER MIDI DRESS WITH GODETS,https://static.zara.net/assets/public/ef90/99bb/3e5d476e8c67/8cfce134039c/04772307250-e1/04772307250-e1.jpg?ts=1768478037594&w=4800,DRESSES,WHITE
wedding_guest,1,3,0.2816700339317322,215,https://www.zara.com/es/en/ruffled-midi-dress-p04772314.html,RUFFLED MIDI DRESS,https://static.zara.net/assets/public/c14d/d250/8df3432da931/520b6cca2fe3/04772314733-e1/04772314733-e1.jpg?ts=1768900565092&w=4800,DRESSES,CREAM
wedding_guest,1,4,0.28133919835090637,905,https://www.zara.com/es/en/bandana-volume-midi-skirt-p01255415.html,VOLUME SCARF MIDI SKIRT,https://static.zara.net/assets/public/5caa/d605/d35342109d54/f09c67ad049a/01255415712-e1/01255415712-e1.jpg?ts=1768220458277&w=4800,SKIRTS,ECRU
wedding_guest,1,5,0.2810901701450348,197,https://www.zara.com/es/en/soft-fabric-dress-with-knot-p00264154.html,SOFT FABRIC DRESS WITH KNOT,https://static.zara.net/assets/public/98de/9d49/ccce4a73b928/30120731be0a/00264154081-e1/00264154081-e1.jpg?ts=1768987634441&w=4800,DRESSES,SAND / MARL
wedding_guest,1,6,0.28072425723075867,204,https://www.zara.com/es/en/short-dress-with-contrast-lace-p07200305.html,SHORT DRESS WITH CONTRAST LACE,https://static.zara.net/assets/public/0a9b/e106/fa10476cac7b/bb560bee1a7b/07200305758-e1/07200305758-e1.jpg?ts=1768900419735&w=4800,DRESSES,758
wedding_guest,1,7,0.2801227271556854,184,https://www.zara.com/es/en/nylon-midi-dress-with-ties-p04772308.html,NYLON MIDI DRESS WITH TIES,https://static.zara.net/assets/public/5c88/a9cf/ec8b450aaaeb/3b9572fe6a3b/04772308600-e1/04772308600-e1.jpg?ts=1768466813545&w=4800,DRESSES,RED
wedding_guest,1,8,0.2800647020339966,906,https://www.zara.com/es/en/lace-trim-satin-midi-skirt-p04391538.html,LACE TRIM SATIN MIDI SKIRT,https://static.zara.net/assets/public/1960/c6a4/01b54e2aaee3/abe93fdbddfc/04391401715-e1/04391401715-e1.jpg?ts=1765465945551&w=4800,SKIRTS,MID-ECRU
wedding_guest,1,9,0.2799310088157654,178,https://www.zara.com/es/en/combined-lace-dress-p01067004.html,DRESS WITH LACE DETAIL,https://static.zara.net/assets/public/d844/58b0/b4dd4b6db6fd/b9828c4f178e/01067004800-e1/01067004800-e1.jpg?ts=1768466217970&w=4800,DRESSES,BLACK
wedding_guest,1,10,0.27842265367507935,961,https://www.zara.com/es/en/soft-cape-skirt-p05067158.html,SOFT CAPE SKIRT,https://static.zara.net/assets/public/a3bb/a053/fff64c8fa6c0/de62af5bc5d3/05067158251-e1/05067158251-e1.jpg?ts=1768466303814&w=4800,SKIRTS,OYSTER-WHITE
wedding_guest,1,11,0.278273344039917,170,https://www.zara.com/es/en/asymmetric-midi-dress-p02321763.html,ASYMMETRIC MIDI DRESS,https://static.zara.net/assets/public/43c3/3121/b26e4b4b87fd/0c5e1419a233/02321763800-e1/02321763800-e1.jpg?ts=1769098600266&w=4800,DRESSES,BLACK
wedding_guest,1,12,0.27780959010124207,232,https://www.zara.com/es/en/satin-dress-with-belt-soshiotsuki-x-zara-p09751710.html,SOSHIOTSUKI X ZARA SATIN BELTED DRESS,https://static.zara.net/assets/public/56ca/98a3/d29d41199906/3ee918dcf7f1/09751710620-e1/09751710620-e1.jpg?ts=1764230743599&w=4800,DRESSES,PINK
wedding_guest,1,13,0.2777967154979706,230,https://www.zara.com/es/en/high-neck-maxi-dress-p01198001.html,MAXI HIGH NECK DRESS,https://static.zara.net/assets/public/c138/18d8/4edc4dcb9d4f/8c317bfe8303/01198001712-e1/01198001712-e1.jpg?ts=1767887864165&w=4800,DRESSES,ECRU
wedding_guest,1,14,0.2777236998081207,239,https://www.zara.com/es/en/velvet-strappy-dress-p05344102.html,VELVET STRAPPY DRESS,https://static.zara.net/assets/public/2379/1acd/e01d4dc585f8/a0a3ddeb0546/05344102800-e1/05344102800-e1.jpg?ts=1764242277022&w=4800,DRESSES,BLACK
wedding_guest,1,15,0.27750182151794434,168,https://www.zara.com/es/en/short-dress-with-contrast-lace-p07200315.html,SHORT DRESS WITH CONTRAST LACE,https://static.zara.net/assets/public/8021/3433/825a41c88de5/db9cc972e775/07200315054-e1/07200315054-e1.jpg?ts=1768900400734&w=4800,DRESSES,BROWN / GREEN
wedding_guest,1,16,0.2759232819080353,958,https://www.zara.com/es/en/voluminous-midi-skirt-p01255411.html,VOLUMINOUS MIDI SKIRT,https://static.zara.net/assets/public/143e/3457/e258484b906c/ae11b9609770/01255411420-e1/01255411420-e1.jpg?ts=1767873074177&w=4800,SKIRTS,BLUISH
wedding_guest,1,17,0.2759074568748474,235,https://www.zara.com/es/en/camisole-dress-with-silk-blend-lace-p09457090.html,SILK BLEND LACE CAMISOLE DRESS,https://static.zara.net/assets/public/1e3c/e75c/dfc34a84a6cd/517019f3fa61/09457090736-e1/09457090736-e1.jpg?ts=1764856856055&w=4800,DRESSES,LIGHT MINK
wedding_guest,1,18,0.27485424280166626,238,https://www.zara.com/es/en/long-lace-camisole-dress-p03920116.html,LONG LACE CAMISOLE DRESS,https://static.zara.net/assets/public/96fe/0ea7/8d904c8192f9/e51b5ea2d1d6/03920116800-e1/03920116800-e1.jpg?ts=1764666899146&w=4800,DRESSES,BLACK
wedding_guest,1,19,0.2740407884120941,217,https://www.zara.com/es/en/midi-dress-with-bow-detail-p04772304.html,MIDI DRESS WITH TIE DETAIL,https://static.zara.net/assets/public/27fd/856e/410e4cbfadf2/c8465c6af266/04772304096-e1/04772304096-e1.jpg?ts=1767952396507&w=4800,DRESSES,WHITE / GREY
wedding_guest,1,20,0.27294081449508667,211,https://www.zara.com/es/en/short-polyamide-blend-dress-p01355015.html,SHORT POLYAMIDE BLEND DRESS,https://static.zara.net/assets/public/f176/06a6/49354d64b5f3/1d680f32bc18/01355015800-e1/01355015800-e1.jpg?ts=1768466232205&w=4800,DRESSES,BLACK
wedding_guest,2,1,0.2796405553817749,621,https://www.zara.com/es/en/water-resistant-windproof-recco--technology-ski-collection-jumpsuit-p08073031.html,MONO WATER RESISTANT WINDPROOF RECCO® TECHNOLOGY SKI COLLECTION,https://static.zara.net/assets/public/e0ef/8839/848042908b2d/3ced68c42592/08073043800-e1/08073043800-e1.jpg?ts=1763480278151&w=4800,TROUSERS,BLACK
wedding_guest,2,2,0.27537649869918823,958,https://www.zara.com/es/en/voluminous-midi-skirt-p01255411.html,VOLUMINOUS MIDI SKIRT,https://static.zara.net/assets/public/143e/3457/e258484b906c/ae11b9609770/01255411420-e1/01255411420-e1.jpg?ts=1767873074177&w=4800,SKIRTS,BLUISH
wedding_guest,2,3,0.2714202404022217,192,https://www.zara.com/es/en/trench-coat-midi-dress-p03067310.html,TRENCH COAT MIDI DRESS,https://static.zara.net/assets/public/7ae4/32e0/2a48428182ef/7ef4e6974249/03067310726-e2/03067310726-e2.jpg?ts=1769101967539&w=4800,DRESSES,BISCUIT
wedding_guest,2,4,0.2704327404499054,142,https://www.zara.com/es/en/long-waxed-check-trench-coat-p05854828.html,LONG WAXED CHECK TRENCH COAT,https://static.zara.net/assets/public/f284/b668/fb1b4d2c8bc1/2ef01b56fc00/05854828716-e1/05854828716-e1.jpg?ts=1767798497212&w=4800,COATS,DARK BROWN
wedding_guest,2,5,0.2692139446735382,22,https://www.zara.com/es/en/asymmetric-check-blazer-with-wool-zw-collection-limited-edition-p02086827.html,ASYMMETRIC CHECK BLAZER WITH WOOL ZW COLLECTION LIMITED EDITION,https://static.zara.net/assets/public/7b0a/c07a/31f04b23a859/dcdda1d4bedf/02086827806-e1/02086827806-e1.jpg?ts=1767613072665&w=4800,JACKETS,STONE
wedding_guest,2,6,0.26913994550704956,228,https://www.zara.com/es/en/multiposition-collar-viscose-blend-dress-p01758116.html,MULTIPOSITION COLLAR VISCOSE BLEND DRESS,https://static.zara.net/assets/public/3d82/d498/7a10404888d5/51f95affb8eb/01758116800-e2/01758116800-e2.jpg?ts=1769172474755&w=4800,DRESSES,BLACK
wedding_guest,2,7,0.2679881453514099,211,https://www.zara.com/es/en/short-polyamide-blend-dress-p01355015.html,SHORT POLYAMIDE BLEND DRESS,https://static.zara.net/assets/public/f176/06a6/49354d64b5f3/1d680f32bc18/01355015800-e1/01355015800-e1.jpg?ts=1768466232205&w=4800,DRESSES,BLACK
wedding_guest,2,8,0.2672886550426483,225,https://www.zara.com/es/en/draped-long-dress-p03253317.html,DRAPED LONG DRESS,https://static.zara.net/assets/public/744f/e6f0/2d76472089a2/3e516f96ead3/03253317700-e1/03253317700-e1.jpg?ts=1768900423078&w=4800,DRESSES,BROWN
wedding_guest,2,9,0.2671370208263397,913,https://www.zara.com/es/en/herringbone-layered-skirt-zw-collection-p02545250.html,HERRINGBONE LAYERED SKIRT ZW COLLECTION,https://static.zara.net/assets/public/2a2f/db13/0db04dfba5bd/1722364d0765/02545250720-e1/02545250720-e1.jpg?ts=1769172462566&w=4800,SKIRTS,BEIGE MARL
wedding_guest,2,10,0.26614704728126526,288,https://www.zara.com/es/en/sleeveless-high-neck-top-p04174001.html,SLEEVELESS HIGH NECK TOP,https://static.zara.net/assets/public/fe3c/2711/aead48e4b603/7932fd35b1b5/04174001706-e1/04174001706-e1.jpg?ts=1767887903497&w=4800,TOPS,MINK
wedding_guest,2,11,0.26599085330963135,217,https://www.zara.com/es/en/midi-dress-with-bow-detail-p04772304.html,MIDI DRESS WITH TIE DETAIL,https://static.zara.net/assets/public/27fd/856e/410e4cbfadf2/c8465c6af266/04772304096-e1/04772304096-e1.jpg?ts=1767952396507&w=4800,DRESSES,WHITE / GREY
wedding_guest,2,12,0.2658258378505707,94,https://www.zara.com/es/en/combined-wool-blazer-soshiotsuki-x-zara-p09820499.html,WOOL BLEND BLAZER SOSHIOTSUKI X ZARA,https://static.zara.net/assets/public/9353/4336/35454c0b81e2/91e71807e001/09820499800-e1/09820499800-e1.jpg?ts=1764152135772&w=4800,JACKETS,BLACK
wedding_guest,2,13,0.26520484685897827,204,https://www.zara.com/es/en/short-dress-with-contrast-lace-p07200305.html,SHORT DRESS WITH CONTRAST LACE,https://static.zara.net/assets/public/0a9b/e106/fa10476cac7b/bb560bee1a7b/07200305758-e1/07200305758-e1.jpg?ts=1768900419735&w=4800,DRESSES,758
wedding_guest,2,14,0.2649344801902771,23,https://www.zara.com/es/en/wool-blend-blazer-zw-collection-p02029044.html,WOOL BLEND BLAZER ZW COLLECTION,https://static.zara.net/assets/public/081e/8ace/f3194285b122/ece00f9e79f0/02029044800-e1/02029044800-e1.jpg?ts=1764603949856&w=4800,JACKETS,BLACK
wedding_guest,2,15,0.26454848051071167,57,https://www.zara.com/es/en/short-blazer-with-topstitching-zw-collection-p02130797.html,ZW COLLECTION SHORT BLAZER WITH TOPSTITCHING,https://static.zara.net/assets/public/644b/630b/893c4a8f86e3/ed330dba8f73/02130797800-e1/02130797800-e1.jpg?ts=1768491265450&w=4800,JACKETS,BLACK
wedding_guest,2,16,0.2641485929489136,232,https://www.zara.com/es/en/satin-dress-with-belt-soshiotsuki-x-zara-p09751710.html,SOSHIOTSUKI X ZARA SATIN BELTED DRESS,https://static.zara.net/assets/public/56ca/98a3/d29d41199906/3ee918dcf7f1/09751710620-e1/09751710620-e1.jpg?ts=1764230743599&w=4800,DRESSES,PINK
