product_id,reference_number,image_path,status,error
102,8491/044/800,data/images/8491_044_800.jpg,ok,
103,3322/041/700,data/images/3322_041_700.jpg,ok,
104,2521/900/300,data/images/2521_900_300.jpg,ok,
105,2521/043/704,data/images/2521_043_704.jpg,ok,
106,3046/298/450,data/images/3046_298_450.jpg,ok,
107,2095/319/710,data/images/2095_319_710.jpg,ok,
108,2078/780/450,data/images/2078_780_450.jpg,ok,
109,2300/317/049,data/images/2300_317_049.jpg,ok,
110,2405/161/700,data/images/2405_161_700.jpg,ok,
111,8469/107/800,data/images/8469_107_800.jpg,ok,
112,4070/023/704,data/images/4070_023_704.jpg,ok,
113,6318/285/700,data/images/6318_285_700.jpg,ok,
114,3046/282/700,data/images/3046_282_700.jpg,ok,
115,8372/044/330,data/images/8372_044_330.jpg,ok,
116,3046/273/710,data/images/3046_273_710.jpg,ok,
117,3811/044/716,data/images/3811_044_716.jpg,ok,
118,7522/052/422,data/images/7522_052_422.jpg,ok,
119,2077/323/700,data/images/2077_323_700.jpg,ok,
120,9514/384/742,data/images/9514_384_742.jpg,ok,
121,8473/107/800,data/images/8473_107_800.jpg,ok,
122,4344/690/720,data/images/4344_690_720.jpg,ok,
123,8471/107/800,data/images/8471_107_800.jpg,ok,
124,6318/023/700,data/images/6318_023_700.jpg,ok,
125,8535/107/800,data/images/8535_107_800.jpg,ok,
126,2131/762/922,data/images/2131_762_922.jpg,ok,
127,2118/851/700,data/images/2118_851_700.jpg,ok,
128,7522/053/505,data/images/7522_053_505.jpg,ok,
129,3548/265/753,data/images/3548_265_753.jpg,ok,
130,5129/248/704,data/images/5129_248_704.jpg,ok,
131,3046/297/700,data/images/3046_297_700.jpg,ok,
132,7522/241/075,data/images/7522_241_075.jpg,ok,
133,2969/062/716,data/images/2969_062_716.jpg,ok,
134,2041/880/121,data/images/2041_880_121.jpg,ok,
135,5761/041/730,data/images/5761_041_730.jpg,ok,
136,3581/040/700,data/images/3581_040_700.jpg,ok,
137,3548/241/087,data/images/3548_241_087.jpg,ok,
138,1255/758/718,data/images/1255_758_718.jpg,ok,
139,2297/040/250,data/images/2297_040_250.jpg,ok,
140,2046/894/436,data/images/2046_894_436.jpg,ok,
141,2145/754/800,data/images/2145_754_800.jpg,ok,
142,5854/828/716,data/images/5854_828_716.jpg,ok,
143,3322/242/712,data/images/3322_242_712.jpg,ok,
144,2100/762/737,data/images/2100_762_737.jpg,ok,
146,6318/277/800,data/images/6318_277_800.jpg,ok,
147,4391/733/716,data/images/4391_733_716.jpg,ok,
148,8490/732/700,data/images/8490_732_700.jpg,ok,
149,7522/063/097,data/images/7522_063_097.jpg,ok,
150,2297/041/450,data/images/2297_041_450.jpg,ok,
152,9854/107/800,data/images/9854_107_800.jpg,ok,
153,2070/397/802,data/images/2070_397_802.jpg,ok,
154,8491/041/532,data/images/8491_041_532.jpg,ok,
155,0518/300/732,data/images/0518_300_732.jpg,ok,
156,8490/832/800,data/images/8490_832_800.jpg,ok,
157,2069/384/742,data/images/2069_384_742.jpg,ok,
158,4360/242/700,data/images/4360_242_700.jpg,ok,
159,2969/063/450,data/images/2969_063_450.jpg,ok,
160,4391/833/802,data/images/4391_833_802.jpg,ok,
161,4391/831/800,data/images/4391_831_800.jpg,ok,
162,1255/730/716,data/images/1255_730_716.jpg,ok,
163,0247/901/600,data/images/0247_901_600.jpg,ok,
164,6098/905/717,data/images/6098_905_717.jpg,ok,
165,7522/244/922,data/images/7522_244_922.jpg,ok,
166,9758/956/743,data/images/9758_956_743.jpg,ok,
167,4764/302/075,data/images/4764_302_075.jpg,ok,
168,7200/315/054,data/images/7200_315_054.jpg,ok,
169,3067/322/742,data/images/3067_322_742.jpg,ok,
170,2321/763/800,data/images/2321_763_800.jpg,ok,
171,4661/309/070,data/images/4661_309_070.jpg,ok,
172,9598/014/600,data/images/9598_014_600.jpg,ok,
173,9747/777/800,data/images/9747_777_800.jpg,ok,
174,2213/777/800,data/images/2213_777_800.jpg,ok,
175,1067/002/800,data/images/1067_002_800.jpg,ok,
176,3067/332/712,data/images/3067_332_712.jpg,ok,
177,8438/591/401,data/images/8438_591_401.jpg,ok,
178,1067/004/800,data/images/1067_004_800.jpg,ok,
179,4772/306/250,data/images/4772_306_250.jpg,ok,
180,2756/018/802,data/images/2756_018_802.jpg,ok,
181,4772/303/049,data/images/4772_303_049.jpg,ok,
182,5536/158/700,data/images/5536_158_700.jpg,ok,
183,2756/144/730,data/images/2756_144_730.jpg,ok,
184,4772/308/600,data/images/4772_308_600.jpg,ok,
185,3152/302/063,data/images/3152_302_063.jpg,ok,
186,9874/003/081,data/images/9874_003_081.jpg,ok,
187,2200/533/049,data/images/2200_533_049.jpg,ok,
188,0108/023/427,data/images/0108_023_427.jpg,ok,
189,3920/836/706,data/images/3920_836_706.jpg,ok,
190,1355/113/800,data/images/1355_113_800.jpg,ok,
191,4772/307/250,data/images/4772_307_250.jpg,ok,
192,3067/310/726,data/images/3067_310_726.jpg,ok,
193,3897/187/809,data/images/3897_187_809.jpg,ok,
