product_url,product_name,mrp,color,reference_number,description,product_image,product_category
https://www.zara.com/es/en/zw-collection-lace-camisole-top-p05919105.html,ZW COLLECTION LACE CAMISOLE TOP,35.95 EUR,BROWN,5919/105/700,"ZARA WOMAN COLLECTION

V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.",https://static.zara.net/assets/public/60d7/0e0e/0a3345c8bef3/2b21f6516fa3/05919105700-p/05919105700-p.jpg?ts=1763572714591&w=1118,TOPS
https://www.zara.com/es/en/zw-collection-lace-camisole-top-p05919105.html,ZW COLLECTION LACE CAMISOLE TOP,35.95 EUR,BROWN,5919/105/700,"ZARA WOMAN COLLECTION

V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.",https://static.zara.net/assets/public/60d7/0e0e/0a3345c8bef3/2b21f6516fa3/05919105700-p/05919105700-p.jpg?ts=1763572714591&w=1118,TOPS
https://www.zara.com/es/en/zw-collection-lace-camisole-top-p05919105.html,ZW COLLECTION LACE CAMISOLE TOP,35.95 EUR,BROWN,5919/105/700,"ZARA WOMAN COLLECTION

V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.",https://static.zara.net/assets/public/60d7/0e0e/0a3345c8bef3/2b21f6516fa3/05919105700-p/05919105700-p.jpg?ts=1763572714591&w=1118,TOPS
https://www.zara.com/es/en/polyamide-top-with-wide-straps-p03905531.html,POLYAMIDE TOP WITH WIDE STRAPS,9.95 EUR,ECRU,3905/531/712,"MID WEIGHT - SLIM FIT - ROUND NECKLINE - NORMAL LENGTH - SLEEVELESS

Fitted top made from a polyamide blend. Features wide straps and chest reinforcement.",https://static.zara.net/assets/public/3351/317c/a98f4db2a1fa/fa43498cca63/1686731252195/1686731252195.jpg?ts=1727719007028&w=1118,TOPS
https://www.zara.com/es/en/polyamide-top-with-wide-straps-p03905531.html,POLYAMIDE TOP WITH WIDE STRAPS,9.95 EUR,ECRU,3905/531/712,"MID WEIGHT - SLIM FIT - ROUND NECKLINE - NORMAL LENGTH - SLEEVELESS

Fitted top made from a polyamide blend. Features wide straps and chest reinforcement.",https://static.zara.net/assets/public/3351/317c/a98f4db2a1fa/fa43498cca63/1686731252195/1686731252195.jpg?ts=1727719007028&w=1118,TOPS
https://www.zara.com/es/en/zw-collection-lace-camisole-top-p05919105.html,ZW COLLECTION LACE CAMISOLE TOP,35.95 EUR,BROWN,5919/105/700,"ZARA WOMAN COLLECTION

V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.",https://static.zara.net/assets/public/60d7/0e0e/0a3345c8bef3/2b21f6516fa3/05919105700-p/05919105700-p.jpg?ts=1763572714591&w=1118,TOPS
https://www.zara.com/es/en/structured-waistcoat-with-buttons-p05039215.html,STRUCTURED WAISTCOAT WITH BUTTONS,22.95 EUR,BLACK / WHITE,5039/215/064,V-neck waistcoat with sleeveless design. Featuring a structured fabric and metallic thread appliqué. Asymmetric hem. Front fastening with metal buttons.,https://static.zara.net/assets/public/2b20/eff7/dc4649f2ac9a/f8b8b085c36b/05039215064-p/05039215064-p.jpg?ts=1761836525723&w=1118,TOPS
https://www.zara.com/es/en/satin-halter-top-p02157221.html,SATIN HALTER TOP,19.95 EUR,BROWN,2157/221/700,Halter neck top with a bare back. Back fastening with hidden buttons.,https://static.zara.net/assets/public/0dc1/5c44/e65f43c5ac3d/2af63e7e04fe/08016399700-p/08016399700-p.jpg?ts=1765876071921&w=1118,TOPS
https://www.zara.com/es/en/satin-halter-top-p02157221.html,SATIN HALTER TOP,19.95 EUR,BROWN,2157/221/700,Halter neck top with a bare back. Back fastening with hidden buttons.,https://static.zara.net/assets/public/0dc1/5c44/e65f43c5ac3d/2af63e7e04fe/08016399700-p/08016399700-p.jpg?ts=1765876071921&w=1118,TOPS
https://www.zara.com/es/en/knit-peplum-belted-top-p04192141.html,KNIT PEPLUM BELTED TOP,25.95 EUR,CHOCOLATE,4192/141/717,Plain knit top with a round neck and short sleeves. Features a thin belt. Flared hem.,https://static.zara.net/assets/public/a473/5660/256e4013a2c5/826a5cb728b0/04192141717-p/04192141717-p.jpg?ts=1763127489666&w=1118,TOPS
https://www.zara.com/es/en/satin-halter-top-p02231581.html,SATIN HALTER TOP,19.95 EUR,BURGUNDY,2231/581/681,Halter neck top with an open back. Back fastening with hidden buttons.,https://static.zara.net/assets/public/de2e/e241/0614425a9bbb/0af4c5cf1cc7/02231581681-p/02231581681-p.jpg?ts=1766149863171&w=1118,TOPS
https://www.zara.com/es/en/high-neck-top-p00858730.html,HIGH NECK TOP,17.95 EUR,BLACK,0858/730/800,"Top crafted in a lyocell blend knit. Featuring a high neck, dropped armholes and a straight hem.",https://static.zara.net/assets/public/e087/1b7d/60d14f309063/a43bb273ad08/00858730800-p/00858730800-p.jpg?ts=1758879419200&w=1118,TOPS
https://www.zara.com/es/en/high-neck-top-p00858730.html,HIGH NECK TOP,17.95 EUR,BLACK,0858/730/800,"Top crafted in a lyocell blend knit. Featuring a high neck, dropped armholes and a straight hem.",https://static.zara.net/assets/public/e087/1b7d/60d14f309063/a43bb273ad08/00858730800-p/00858730800-p.jpg?ts=1758879419200&w=1118,TOPS
https://www.zara.com/es/en/top-with-shoulder-pads-and-fringing-p02176743.html,TOP WITH SHOULDER PADS AND FRINGING,22.95 EUR,ECRU,2176/743/712,Sleeveless top featuring a high neck and shoulder pads. Hem finished with fringing and metallic thread.,https://static.zara.net/assets/public/989a/e376/2ab94dcea568/53b83a8c99b3/02176743712-p/02176743712-p.jpg?ts=1767866930925&w=1118,TOPS
https://www.zara.com/es/en/leather-effect-sleeveless-top-p02148683.html,LEATHER EFFECT SLEEVELESS TOP,25.95 EUR,BROWN,2148/683/700,Round neck sleeveless top. Featuring a thin belt detail. Flared hem. Fastens at the back with a concealed in-seam zip.,https://static.zara.net/assets/public/da2e/33e2/dc864480be3a/9fcad288ca84/02148683700-p/02148683700-p.jpg?ts=1767866926088&w=1118,TOPS
https://www.zara.com/es/en/soft-buckle-top-p00264304.html,SOFT TOP WITH BUCKLE,22.95 EUR,BLACK / ECRU,0264/304/093,"Top featuring a straight neckline, open shoulders and long sleeves. Combination of contrasting fabrics. Metal buckle detail. Straight hem.",https://static.zara.net/assets/public/759c/3aa8/f63c4adea802/b7752bb1d358/00264304093-p/00264304093-p.jpg?ts=1767005121259&w=1118,TOPS
https://www.zara.com/es/en/soft-buckle-top-p00264304.html,SOFT TOP WITH BUCKLE,22.95 EUR,BLACK / ECRU,0264/304/093,"Top featuring a straight neckline, open shoulders and long sleeves. Combination of contrasting fabrics. Metal buckle detail. Straight hem.",https://static.zara.net/assets/public/759c/3aa8/f63c4adea802/b7752bb1d358/00264304093-p/00264304093-p.jpg?ts=1767005121259&w=1118,TOPS
https://www.zara.com/es/en/100-wool-rib-top-p08779105.html,100% WOOL RIB TOP,49.95 EUR,ECRU,8779/105/712,Top with main fabric made of 100% wool yarn. V-neck and long sleeve. Ribbed knit detail.,https://static.zara.net/assets/public/bdd0/1c09/c42942fb85cd/e78b971e6c13/08779105712-p/08779105712-p.jpg?ts=1766999975899&w=1118,TOPS
https://www.zara.com/es/en/100-wool-rib-top-p08779105.html,100% WOOL RIB TOP,49.95 EUR,ECRU,8779/105/712,Top with main fabric made of 100% wool yarn. V-neck and long sleeve. Ribbed knit detail.,https://static.zara.net/assets/public/bdd0/1c09/c42942fb85cd/e78b971e6c13/08779105712-p/08779105712-p.jpg?ts=1766999975899&w=1118,TOPS
https://www.zara.com/es/en/long-sleeve-ribbed-top-p03253838.html,LONG SLEEVE RIBBED TOP,9.95 EUR,WHITE,3253/838/250,Fitted long sleeve top in a ribbed knit with a V-neck.,https://static.zara.net/assets/public/8326/52a2/827049dbb4b7/4bb2003cce43/03253838250-p/03253838250-p.jpg?ts=1758812160333&w=1118,TOPS
