row_id,score,product_name,product_url,price,color,product_category,image_url
223,0.276492178440094,SHORT CHECKED RUFFLED DRESS,https://www.zara.com/es/en/short-checked-dress-with-ruffles-p03067318.html,29.95 EUR,BROWN-BLUE,DRESSES,https://static.zara.net/assets/public/a40e/64d4/11b948fe869e/e6b4ca2557fa/03067318049-e1/03067318049-e1.jpg?ts=1768229507786&w=4800
171,0.2758786082267761,POLKA DOT SHORT DRESS WITH TIE DETAIL,https://www.zara.com/es/en/short-polka-dot-dress-with-tie-detail-p04661309.html,29.95 EUR,ECRU / BLACK,DRESSES,https://static.zara.net/assets/public/9748/42e8/33d74ae1b5d9/61e003b5ebf4/04661309070-e1/04661309070-e1.jpg?ts=1769161303495&w=4800
213,0.27547430992126465,STRUCTURED SKATER DRESS,https://www.zara.com/es/en/textured-skater-dress-p05039180.html,27.95 EUR,BLACK / WHITE,DRESSES,https://static.zara.net/assets/public/8c62/fa6b/9cf645cdb9d4/4c8886fa6a0f/05039180084-e1/05039180084-e1.jpg?ts=1769083130485&w=4800
224,0.275358647108078,SHORT CHECK DRESS WITH RUFFLES,https://www.zara.com/es/en/short-checked-dress-with-ruffles-p02180301.html,29.95 EUR,GREYS,DRESSES,https://static.zara.net/assets/public/41cc/82fb/68b541558fe2/c977714836ae/02180301111-e1/02180301111-e1.jpg?ts=1768467179858&w=4800
221,0.2749323844909668,CHIFFON GODET MIDI DRESS,https://www.zara.com/es/en/chiffon-godet-midi-dress-p00881344.html,39.95 EUR,BROWN,DRESSES,https://static.zara.net/assets/public/a8cb/0f82/1dc040ca91bd/43993231daa6/00881344700-e1/00881344700-e1.jpg?ts=1768900563892&w=4800
218,0.27446749806404114,SHORT HIGH NECK DRESS,https://www.zara.com/es/en/short-high-neck-dress-p00858028.html,19.95 EUR,BLACK,DRESSES,https://static.zara.net/assets/public/1915/1d45/fbc341ecad70/a212beff407d/00858028800-e1/00858028800-e1.jpg?ts=1768220410013&w=4800
191,0.2743765413761139,HALTER MIDI DRESS WITH GODETS,https://www.zara.com/es/en/mid-halter-godet-dress-p04772307.html,35.95 EUR,WHITE,DRESSES,https://static.zara.net/assets/public/ef90/99bb/3e5d476e8c67/8cfce134039c/04772307250-e1/04772307250-e1.jpg?ts=1768478037594&w=4800
184,0.27429288625717163,NYLON MIDI DRESS WITH TIES,https://www.zara.com/es/en/nylon-midi-dress-with-ties-p04772308.html,35.95 EUR,RED,DRESSES,https://static.zara.net/assets/public/5c88/a9cf/ec8b450aaaeb/3b9572fe6a3b/04772308600-e1/04772308600-e1.jpg?ts=1768466813545&w=4800
176,0.2739904820919037,SHORT DRESS WITH PLEATS AND POCKETS,https://www.zara.com/es/en/short-dress-with-pleats-and-pockets-p03067332.html,35.95 EUR,ECRU,DRESSES,https://static.zara.net/assets/public/b368/f0b4/09564ec1857c/d96e97e81e9b/02203815712-e1/02203815712-e1.jpg?ts=1767084762685&w=4800
180,0.2739369869232178,V-NECK KNIT MIDI DRESS,https://www.zara.com/es/en/v-neck-knit-midi-dress-p02756018.html,39.95 EUR,GREY,DRESSES,https://static.zara.net/assets/public/29dc/f0a1/c1ea4ae1b37b/052081398e2e/02756018802-e2/02756018802-e2.jpg?ts=1768822927841&w=4800
